tick,zone,environmentSignal,sosCount,infraStress,zoneType,vulnerability
1,A,4.5,2,1.1,SLUM,1.8
1,B,3.8,1,1.0,RESIDENTIAL,1.0
1,C,4.2,2,1.0,HOSPITAL,2.0
1,D,3.5,1,1.2,INDUSTRIAL,1.3
1,E,3.6,1,1.1,RESIDENTIAL,1.0
1,F,3.7,1,1.0,HIGH_RISE,0.9
1,G,3.9,1,1.1,RESIDENTIAL,1.0
1,H,2.8,0,1.0,HIGH_RISE,0.9
1,I,2.9,0,1.0,RESIDENTIAL,1.0
1,J,2.7,0,1.0,HIGH_RISE,0.9
2,A,4.8,2,1.1,SLUM,1.8
2,B,3.9,1,1.0,RESIDENTIAL,1.0
2,C,4.3,2,1.0,HOSPITAL,2.0
2,D,3.5,1,1.2,INDUSTRIAL,1.3
2,E,3.7,1,1.1,RESIDENTIAL,1.0
2,F,3.8,1,1.0,HIGH_RISE,0.9
2,G,4.0,1,1.1,RESIDENTIAL,1.0
2,H,2.8,0,1.0,HIGH_RISE,0.9
2,I,2.9,0,1.0,RESIDENTIAL,1.0
2,J,2.7,0,1.0,HIGH_RISE,0.9
3,A,6.8,5,1.2,SLUM,1.8
3,B,4.0,2,1.1,RESIDENTIAL,1.0
3,C,4.4,2,1.0,HOSPITAL,2.0
3,D,3.6,1,1.2,INDUSTRIAL,1.3
3,E,3.8,1,1.1,RESIDENTIAL,1.0
3,F,3.9,1,1.0,HIGH_RISE,0.9
3,G,4.1,1,1.1,RESIDENTIAL,1.0
3,H,2.8,0,1.0,HIGH_RISE,0.9
3,I,2.9,0,1.0,RESIDENTIAL,1.0
3,J,2.7,0,1.0,HIGH_RISE,0.9
4,A,7.6,10,1.2,SLUM,1.8
4,B,4.2,3,1.1,RESIDENTIAL,1.0
4,C,4.6,3,1.1,HOSPITAL,2.0
4,D,3.7,1,1.2,INDUSTRIAL,1.3
4,E,3.9,1,1.1,RESIDENTIAL,1.0
4,F,4.0,1,1.0,HIGH_RISE,0.9
4,G,4.2,1,1.1,RESIDENTIAL,1.0
4,H,2.8,0,1.0,HIGH_RISE,0.9
4,I,2.9,0,1.0,RESIDENTIAL,1.0
4,J,2.7,0,1.0,HIGH_RISE,0.9
5,A,8.4,38,1.3,SLUM,1.8
5,B,5.0,8,1.4,RESIDENTIAL,1.0
5,C,5.5,12,1.3,HOSPITAL,2.0
5,D,3.9,2,1.3,INDUSTRIAL,1.3
5,E,4.1,2,1.2,RESIDENTIAL,1.0
5,F,4.2,1,1.1,HIGH_RISE,0.9
5,G,4.4,1,1.1,RESIDENTIAL,1.0
5,H,2.8,0,1.0,HIGH_RISE,0.9
5,I,2.9,0,1.0,RESIDENTIAL,1.0
5,J,2.7,0,1.0,HIGH_RISE,0.9
6,A,8.6,42,1.4,SLUM,1.8
6,B,5.5,10,1.5,RESIDENTIAL,1.0
6,C,6.0,15,1.4,HOSPITAL,2.0
6,D,4.0,3,1.4,INDUSTRIAL,1.3
6,E,4.3,3,1.3,RESIDENTIAL,1.0
6,F,4.4,2,1.2,HIGH_RISE,0.9
6,G,4.6,2,1.3,RESIDENTIAL,1.0
6,H,2.8,0,1.0,HIGH_RISE,0.9
6,I,2.9,0,1.0,RESIDENTIAL,1.0
6,J,2.7,0,1.0,HIGH_RISE,0.9
7,A,8.7,45,1.5,SLUM,1.8
7,B,6.0,15,1.6,RESIDENTIAL,1.0
7,C,6.5,20,1.5,HOSPITAL,2.0
7,D,4.2,4,1.5,INDUSTRIAL,1.3
7,E,4.5,4,1.4,RESIDENTIAL,1.0
7,F,4.6,3,1.3,HIGH_RISE,0.9
7,G,4.8,3,1.4,RESIDENTIAL,1.0
7,H,2.8,0,1.0,HIGH_RISE,0.9
7,I,2.9,0,1.0,RESIDENTIAL,1.0
7,J,2.7,0,1.0,HIGH_RISE,0.9
8,A,8.8,46,1.6,SLUM,1.8
8,B,6.5,20,1.8,RESIDENTIAL,1.0
8,C,7.0,25,1.6,HOSPITAL,2.0
8,D,4.5,5,1.7,INDUSTRIAL,1.3
8,E,4.8,5,1.5,RESIDENTIAL,1.0
8,F,4.9,4,1.4,HIGH_RISE,0.9
8,G,5.0,4,1.5,RESIDENTIAL,1.0
8,H,2.8,0,1.0,HIGH_RISE,0.9
8,I,2.9,0,1.0,RESIDENTIAL,1.0
8,J,2.7,0,1.0,HIGH_RISE,0.9
9,A,8.9,47,1.7,SLUM,1.8
9,B,7.0,25,2.1,RESIDENTIAL,1.0
9,C,7.5,30,1.8,HOSPITAL,2.0
9,D,5.0,6,2.1,INDUSTRIAL,1.3
9,E,5.2,6,1.7,RESIDENTIAL,1.0
9,F,5.3,5,1.6,HIGH_RISE,0.9
9,G,5.5,5,1.7,RESIDENTIAL,1.0
9,H,2.8,0,1.0,HIGH_RISE,0.9
9,I,2.9,0,1.0,RESIDENTIAL,1.0
